,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
5439,460871,Chamberlain University-Virginia,Arlington,VA,22202,0.1667,506.0,19375.0,
5456,461193,Bella Capelli Academy,Monroeville,PA,15146-2388,,212.0,,
5457,461218,Institute of Medical Careers,Pittsburgh,PA,15235-3718,,340.0,,
5470,461379,Holistic Massage Training Institute,Baltimore,MD,21218,,17.0,,
5472,461412,Northern Virginia School of Therapeutic Massage,Falls Church,VA,22042-4302,,122.0,,
5555,469586,Cortiva Institute-York,York,PA,17402-8046,,65.0,,
5571,474997,All-State Career School-Health Sciences,Essington,PA,19029,,313.0,17656.0,
5613,476179,Empire Beauty School-Virginia Beach,Virginia Beach,VA,23462-6779,,115.0,,
5623,476568,Tomorrow's Image Barber And Beauty Academy of Virginia,Newport News,VA,23608-5532,,14.0,,
5626,476601,Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,21209-1613,1.0,80.0,13000.0,
5672,479248,Columbia College,Centreville,VA,20121,,144.0,,
5674,479956,Pennsylvania State University-World Campus,University Park,PA,16802-1503,0.5426,8102.0,13988.0,
5688,480134,Elizabethtown College School of Continuing and Professional Studies,Elizabethtown,PA,17022-2298,1.0,246.0,,
5691,480189,Mercyhurst University-North East Campus,North East,PA,16428,,595.0,19120.0,
5694,480310,Empire Beauty School-Glen Burnie,Glen Burnie,MD,21061,,100.0,,
5703,480693,Columbia Institute,Silver Spring,MD,20906-4503,,107.0,,
5717,480930,Paul Mitchell the School-Woodbridge,Woodbridge,VA,22192,,135.0,,
5721,480994,Aspen Beauty Academy of Laurel,Laurel,MD,20724,,55.0,,
5723,481021,Berks Career & Technology Center,Leesport,PA,19533-9112,,46.0,,
5736,481207,Institute of Health Sciences,Hunt Valley,MD,21031-1408,,126.0,15100.0,
5759,481526,The Chrysm Insitute of Esthetics,Virginia Beach,VA,23462-2980,,130.0,,
5776,482103,Finger Lakes School of Massage,FREDERICK,MD,21703-3030,,59.0,,
5805,482608,DeVry University-Pennsylvania,Ft. Washington,PA,19034,1.0,199.0,17689.0,
5808,482653,DeVry University-Virginia,Arlington,VA,22202,0.8571,188.0,17759.0,
5821,483054,Barber School of Pittsburgh,Pittsburgh,PA,15220,,78.0,,
5830,483346,Divine Crown Barber & Beauty Academy,Harrisburg,PA,17110,,43.0,,
5849,483726,Luckes Beauty Academy LLC,Newport  News,VA,23601-1303,,14.0,,
5852,483753,Champ's Barber School,Lancaster,PA,17602-3809,,27.0,,
5853,483780,IGlobal University,Vienna,VA,22182-2734,,72.0,13820.0,
5855,483814,Standard Healthcare Services-College of Nursing,Falls Church,VA,22043,0.4255,311.0,,
5856,483823,Philadelphia Technician Training,Philadelphia,PA,19138-1324,,170.0,,
5911,484765,University of Phoenix-Virginia,Virginia Beach,VA,23462,,75.0,9552.0,
5912,484783,University of Phoenix-Pennsylvania,Philadelphia,PA,19103,,61.0,,
5919,484923,Dermal Science International Aesthetics and Nail Academy,Reston,VA,20190,,102.0,,
5929,485236,Fountain of Youth Academy of Cosmetology,Mars,PA,16046,,26.0,,
5938,485397,Empire Beauty School-Cheltenham,Wyncote,PA,19095,,119.0,,
5960,485856,Studio Incamminati,Philadelphia,PA,19107-1105,1.0,40.0,12625.0,
5970,486105,Professional Academy of Cosmetology,Norristown,PA,19401-0000,,5.0,,
5990,486424,Saint Michael College of Allied Health,Alexandria,VA,22309-2348,,106.0,16300.0,
6003,486594,Wave Leadership College,Virginia Beach,VA,23454-2140,,61.0,7145.0,
6059,487676,The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,MD,21401-3833,,190.0,,
6100,488262,Hair Academy School of Barbering & Beauty,Newark,DE,19713-2305,,26.0,,
